Movie ID,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,Unknown,War,Western,(no genres listed),User ID,Age,Gender,Occupation,Zipcode,Rating
b'587',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,b'3970',25,0,1,b'02903',1
b'608',0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b'2642',25,1,11,b'33073',3
b'2779',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5156',18,1,14,b'10024',5
b'2053',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'1426',18,1,14,b'94070',2
b'3471',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,b'1860',56,1,16,b'94591',4
b'1231',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1947',25,1,6,b'94041',5
b'2716',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'5831',25,1,0,b'92120',3
b'1537',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'4732',25,1,14,b'24450',4
b'1732',0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,b'15',25,1,6,b'22903',3
b'2629',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'5831',25,1,0,b'92120',2
b'2407',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'2928',25,1,1,b'90068',4
b'587',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,b'1243',35,1,15,b'92627',3
b'3811',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,b'4425',35,1,6,b'98607',3
b'2717',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'1958',25,0,0,b'17055',3
b'22',0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b'3829',25,0,0,b'22307',1
b'2872',1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,b'2875',25,1,1,b'10013',5
b'1385',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3610',18,1,4,b'30064',4
b'2677',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'2942',50,0,0,b'93103',5
b'1276',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1128',25,1,0,b'72701',3
b'81',0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,b'689',50,0,11,b'48103',3
b'3481',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'1494',25,1,18,b'38104',5
b'1036',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,b'1884',45,1,21,b'93108',4
b'3868',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3842',35,0,16,b'92054',3
b'1997',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'2641',25,1,4,b'19428',4
b'1275',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3812',35,1,18,b'78749',3
b'1292',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'867',45,1,12,b'95814',5
b'2243',0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,b'5140',25,1,4,b'35205',2
b'2857',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b'3649',25,0,11,b'94115',4
b'275',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3503',18,1,17,b'59715',3
b'628',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b'2251',35,1,14,b'60626',3
b'2989',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'6001',25,0,6,b'94117',3
b'1263',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,b'3430',45,0,0,b'15208',4
b'3004',0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,b'5990',25,0,21,b'90046',1
b'2565',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b'5067',56,1,13,b'97520',5
b'939',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'4784',35,0,4,b'48105',3
b'512',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,b'3272',35,1,11,b'08330',3
b'43',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5054',35,1,1,b'20818',3
b'3799',0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5015',35,1,4,b'92672',1
b'824',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'958',35,1,1,b'48116',4
b'293',0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,b'5242',25,1,0,b'14608',4
b'1920',0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,b'1494',25,1,18,b'38104',1
b'3784',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5178',50,1,11,b'45420',2
